SourceFile,XMP-dc:Identifier,XMP-dc:Title,XMP-dc:Subject,XMP-dc:Description,XMP-dc:Creator,XMP-dc:Source,XMP-dc:Publisher,XMP-dc:Date,XMP-dc:Contributor,XMP-dc:Rights,XMP-dc:Relation,XMP-dc:Format,XMP-dc:Language,XMP-dc:Type,XMP-dc:Coverage
/Users/mrtaylor97/Downloads/Photo_Digitization/sod_pnp_27_003.tiff,sod_pnp_27_003,Unidentified Woman,Portrait,Photograph of an unidentified White woman.,,,,1867-1914,,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.",,"Cabinet Photographs; 4.25"" x 6.50""",English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/sod_pnp_28_002a.tiff,sod_pnp_28_002a,Unidentified Young Man (Front),Portrait,"Photograph of an unidentified young man, potentially of Latin heritage",,,,1867-1914,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,"Cabinet Photographs; 4.25"" x 6.50""",English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/sod_pnp_28_002b.tiff,sod_pnp_28_002b,Unidentified Young Man (Back),Portrait,"Details about a photograph of an unidentified young man, potentially of Latin heritage",,,,1867-1914,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,"Cabinet Photographs; 4.25"" x 6.50""",English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/sod_pnp_34_001a.tiff,sod_pnp_34_001a,Untitled Young Boy (Front),Portrait,"Photograph of an unidentified young man, a bit yellowed with age.",Appleby,,,1867-1914,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,"Cabinet Photographs; 4.25"" x 6.50""",English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/sod_pnp_34_001b.tiff,sod_pnp_34_001b,Untitled Young Boy (Back),Portrait,Details about the photograph of an unidentified young man.,Appleby,,,1867-1914,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,"Cabinet Photographs; 4.25"" x 6.50""",English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/sod_pnp_46_005a.tiff,sod_pnp_46_005a,C. C. Shadell (Front),Portrait,"Black and white photograph of a White, middle-aged man wearing a suit and cravat. His hair is combed back on his somewhat balding head and he has a mustache. A pocket watch dangles potentially from a button on his suit jacket (there's a chain slightly visible).",,,,1867-1914,,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.",,"Cabinet Photographs; 4.25"" x 6.50""",English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/sod_pnp_46_005b.tiff,sod_pnp_46_005b,C. C. Shadell (Back),Portrait,"Details about a black and white photograph of a White, middle-aged man.",,,,1867-1914,,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.",,"Cabinet Photographs; 4.25"" x 6.50""",English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/sod_tt_02_007.tiff,sod_tt_02_007,Unidentified Young Women,Portrait,"Photograph of three unidentified young White women wearing dark, long-sleeve dresses with corsets.",,,,1854-1879,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,Tintypes,English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/sod_tt_05_009.tiff,sod_tt_05_009,Unidentified Infant,Portrait,"Blsck and white photograph of an unidentified infant sitting upright in a dark, leather chair. Here hair is unkempt and she's dressed in a snall, White dress with bows loosely tied at her shoulders.There appears to be a dark-colored ribbon tied around the waist of her dress and her right hand lightly grips the arm of the chair, the other hand lays out of view in her lap.",,,,1854-1879,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,Tintypes,English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/sod_tt_07_008a.tiff,sod_tt_07_008a,Sammy (Front),Portrait,Black and white photograph of an unidentified young man. His hair is swept back from his forhead and he wears a dark-colored coat with his light-colored vest underneath halfway unbuttoned. There's a non-traditional clothe tie at his neck.,"Jr. Reitz, Lewis",,,1854-1879,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,Tintypes,English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/sod_tt_07_008b.tiff,sod_tt_07_008b,Sammy (Back),Portrait,Details about a black and white photograph of an unidentified young man.,"Jr. Reitz, Lewis",,,1854-1879,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,Tintypes,English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/ttda_slide_001.tiff,ttda_slide_001,Unidentified Home,Residence,"Vibrantly colored photograph of a house, possibly in Texas. There a blue bonne flowers in full bloom in front of the house.There's a windmill at the back of the house and a shed. The house has red window shutters, a chimney, and appears to be made out of brick or stone. There's shrubbery surrounding the house and a porch in the front (viewed from the side). There's a deep blue sky above it all.",,,Plastimount+,2000-2010,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,35mm SLIDE,English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/ttda_slide_002.tiff,ttda_slide_002,Rio Grande Valley Tropical Texas Beauty,Nature,Photograph of colorful outside scenery with a bush of hot pink flowers in full bloom and windblown palm trees. There's a small body of water next to green grass and a cement sidewalk with a blue sky full of clouds. ,,,Texas Dept of Commerce ,2000-2010,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,35mm SLIDE,English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/ttda_slide_003.tiff,ttda_slide_003,Texas Music Scene A Cultural Heritage,Music,"Colored photograph of a Black musician wearing a black cowboy hat and strumming an orange bass guitar. The Texas flag hangs behnd him on a tan stone wall to the left and a drumset sits behind him on the right. He appears to be on a stage indoors performing a concert. There's a White musician sitting and playing at a brown wooden piano to the left, also wearing a black cowboy hat. The Black musician wears a gray suit while the White musician wears a black top and a shiny silver watch (presumably). Pink flowers drape the walls behind them.",,,Texas Dept of Commerce ,2000-2010,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,35mm SLIDE,English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/wb26_29_cardinal_1.tiff,wb26_29_cardinal_1,Cardinal,Sports,"Photograph of a smiling Black football athlete posing in blue jeans and a black tank top. He wears gym shoes and slings his matching jean jacket over on shoulder in the top frame. In the second frame, he holds a white helmet with the red cardinals bird; his head and arm are propped over the helmet.",,,,1975-1999,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,"3.25"" x 2.25"" color negatives",English,Image,
